##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	160123_I132_FCH3YHMBBXX_L4_OYSzenG1AAD96FAAPEI-109_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	364261046
Sequences flagged as poor quality	0
Sequence length	100
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1110	68-69	-0.06818599841018624
1110	70-71	-0.061578134118427386
1110	72-73	-0.08357551033400767
1110	74-75	-0.1514406103945234
1110	76-77	-0.23564272258849428
1110	78-79	-0.10236000665891254
1110	80-81	0.07461935012607768
1110	82-83	0.08113111902769532
1110	84-85	-0.017799706810194493
1110	86-87	-0.024793254364965378
1110	88-89	-0.053770628092806305
1110	90-91	-0.0618512939969591
1110	92-93	-0.013229072850336365
1110	94-95	-0.021931869392361136
1110	96-97	-0.05958895582183743
1110	98-99	-0.05382580499390599
1110	100	-0.021133328597876755
1111	1	0.019739032586155503
1111	2	-0.1078120424529061
1111	3	-0.3200648686026639
1111	4	-0.1447469418334606
1111	5	-0.11879850062015862
1111	6	-0.20221640952620845
1111	7	-0.15508596495534022
1111	8	-0.11185736357583664
1111	9	-0.10149975865041228
1111	10-11	-0.1154323476977197
1111	12-13	-0.1723062238610069
1111	14-15	-0.210628011901683
1111	16-17	-0.1226216240710798
1111	18-19	-0.14084112774759916
1111	20-21	-0.13551184797117344
1111	22-23	-0.10810406858619359
1111	24-25	-0.11315980667478698
1111	26-27	-0.1513654702440661
1111	28-29	-0.1314862274635118
1111	30-31	-0.265242102896039
1111	32-33	-0.19969299661460838
1111	34-35	-0.1978309633326063
1111	36-37	-0.15931061192432594
1111	38-39	-0.182725308914911
1111	40-41	-0.20400782154949582
1111	42-43	-0.1883298694335096
1111	44-45	-0.23991133209162996
1111	46-47	-0.2457725972939997
1111	48-49	-0.19658440915851827
1111	50-51	-0.20574587621027263
1111	52-53	-0.2245162229851445
1111	54-55	-0.25426134019414803
1111	56-57	-0.14727997047624797
1111	58-59	-0.17749458600782475
1111	60-61	-0.160342098399056
1111	62-63	-0.2258271730041912
1111	64-65	-0.26036047882718094
1111	66-67	-0.2665333830119394
1111	68-69	-0.26537141311972334
1111	70-71	-0.21713905373042763
1111	72-73	-0.15318761161541516
1111	74-75	-0.3391475964458337
1111	76-77	-0.420825385314501
1111	78-79	-0.27491411575270774
1111	80-81	-0.1594048387173146
1111	82-83	-0.11721063457070358
1111	84-85	-0.1856013460954884
1111	86-87	-0.1546366267478234
1111	88-89	-0.12991305808708375
1111	90-91	-0.11550774227588789
1111	92-93	-0.2645959495343675
1111	94-95	-0.1374718203113261
1111	96-97	-0.15179388412518335
1111	98-99	-0.1787807890399975
1111	100	-0.17333543900917192
1112	1	0.026692454580775404
1112	2	-0.10830555686241183
1112	3	-0.46711108553015634
1112	4	-0.34632045611983386
1112	5	-0.2549353599570452
1112	6	-0.35125082355634873
1112	7	-0.24937191688861304
1112	8	-0.21244728832097337
1112	9	-0.4881282906193576
1112	10-11	-0.24718341362193286
1112	12-13	-0.28861045616504555
1112	14-15	-0.19621297095344659
